,budget,genres,keywords,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,tagline,vote_average,vote_count,cast,director,year,month,return_rate
1343,36000000,"['Adventure', 'Action', 'Thriller']","['video game', 'spy', 'bahamas', 'british', 'stealing', 'scuba diving', 'scuba', 'british secret service']","James Bond returns as the secret agent 007 one more time to battle the evil organization SPECTRE. Bond must defeat Largo, who has stolen two atomic warheads for nuclear blackmail. But Bond has an ally in Largo's girlfriend, the willowy Domino, who falls for Bond and seeks revenge. This is the last time for Sean Connery as Her Majesty's Secret Agent 007.",23.380757,"['PSO International', 'TaliaFilm II Productions', 'Woodcote']","['Germany', 'United Kingdom', 'United States of America']",1983-10-07,160000000,134.0,"['English', 'Français', 'العربية', 'Español']",Sean Connery is James Bond 007,5.8,338,"[""['Sean Connery'"", "" 'Kim Basinger'""]",Irvin Kershner,1983,10,344.44444444444446
1344,36000000,"['Science Fiction', 'Comedy', 'Adventure']","['female nudity', 'one-night stand', 'time travel', 'time machine', 'incest overtones', 'hot tub', 'peter pan syndrome', 'forty something', 'skiing']","A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born.",33.926473,"['United Artists', 'Metro-Goldwyn-Mayer (MGM)', 'New Crime Productions']",['United States of America'],2010-03-26,64572262,101.0,"['Pусский', 'English']",Kick some past,6.0,894,"[""['John Cusack'"", "" 'Lizzy Caplan'""]",Steve Pink,2010,03,79.36739444444444
1345,36000000,"['Family', 'Drama']","['dolphin', 'aquarium', 'swimming']",The team of people who saved Winter's life reassemble in the wake of her surrogate mother's passing in order to find her a companion so she can remain at the Clearwater Marine Hospital.,6.967857,"['Alcon Entertainment', 'Color Force', 'Boxing Cat Films', 'St. Petersburg Clearwater Film Commission']",['United States of America'],2014-09-12,52424533,107.0,['English'],WINTER's amazing true story... now has HOPE.,6.7,96,"[""['Morgan Freeman'"", "" 'Ashley Judd'""]",Charles Martin Smith,2014,09,45.62370277777779
1346,42000000,['Thriller'],"['prison', 'robbery', 'role reversal', 'extramarital affair']","After assuming his dead cellmate's identity to get with his girlfriend, an ex-con finds himself the reluctant participant in a casino heist.",11.470135,"['Dimension Films', 'Marty Katz Productions']",['United States of America'],2000-02-25,32168970,124.0,['English'],The trap is set. The game is on.,5.4,173,"[""['Ben Affleck'"", "" 'Gary Sinise'""]",John Frankenheimer,2000,02,-23.407214285714282
1347,36000000,"['Action', 'Drama']","['repayment', 'arbitrary law', 'cop', 'loss of wife']","When Vetter's wife is killed in a botched hit organized by Diablo, he seeks revenge against those responsible. But in the process, Vetter and Hicks have to fight their way up the chain to get to Diablo but it's easier said than done when all Vetter can focus on is revenge.",19.854932,"['New Line Cinema', 'Newman/Tooley Films', 'Joseph Nittolo Entertainment', '""DIA"" Productions GmbH & Co. KG']","['Germany', 'United States of America']",2003-04-04,44350926,109.0,"['English', 'Español']",Love changes a man. Revenge tears him apart.,5.8,258,"[""['Vin Diesel'"", "" 'Larenz Tate'""]",F. Gary Gray,2003,04,23.19701666666667
1348,37000000,"['Drama', 'Comedy', 'Romance']","['love triangle', 'hawaii', 'satellite', 'military', 'duringcreditsstinger', 'communication']",A celebrated military contractor returns to the site of his greatest career triumphs and re-connects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.,29.652535999999998,"['Scott Rudin Productions', 'Vinyl Films']",['United States of America'],2015-05-27,26250020,105.0,"['Pусский', 'English']",Sometimes you have to say goodbye before you can say hello.,5.2,692,"[""['Bradley Cooper'"", "" 'Emma Stone'""]",Cameron Crowe,2015,05,-29.054000000000002
1351,37000000,"['Drama', 'Thriller', 'Horror']","['vatican', 'violinist', 'hospital', 'miscarriage', 'exorcist', 'roman catholic', 'seminary', 'limp', 'toad', 'clergy', 'formalin', 'walking cane']","Seminary student Michael Kovak (Colin O'Donoghue) reluctantly attends exorcism school at the Vatican. While he’s in Rome, Michael meets an unorthodox priest, Father Lucas (Anthony Hopkins), who introduces him to the darker side of his faith, uncovering the devil’s reach even to one of the holiest places on Earth.",11.492474000000001,"['New Line Cinema', 'Contrafilm', 'Mid Atlantic Films', 'Hungarian National Film Office', 'Lazio Film Commission', 'Rome Film Commission', 'Italian Tax Credit']","['United States of America', 'Hungary', 'Italy']",2011-01-28,96047633,114.0,"['English', 'Italiano', 'Magyar', 'Pусский', 'Latin', 'Cymraeg']",You can only defeat it when you believe.,5.8,556,"[""['Anthony Hopkins'"", ' ""Colin O\'Donoghue""']",Mikael Håfström,2011,01,159.5881972972973
1352,36000000,"['Thriller', 'Science Fiction', 'Mystery', 'Romance']","['paraplegic', 'suicide attempt', 'cheating', 'dna', 'spaceman', 'new identity', 'heart disease', 'false identity', 'blood sample', 'biotechnology', 'space mission', 'dystopia', 'investigation', 'genetics', 'hostility', 'exercise', 'eugenics', 'dystopic future']","Science fiction drama about a future society in the era of indefinite eugenics where humans are set on a life course depending on their DNA. The young Vincent Freeman is born with a condition that would prevent him from space travel, yet he is determined to infiltrate the GATTACA space program.",70.398356,"['Columbia Pictures', 'Jersey Films']",['United States of America'],1997-09-07,12532777,106.0,"['English', 'Esperanto']",There is no gene for the human spirit.,7.5,1808,"[""['Ethan Hawke'"", "" 'Jude Law'""]",Andrew Niccol,1997,09,-65.18673055555556
1353,36000000,"['Drama', 'Comedy']","['autism', 'based on article']","An unsuccessful over-the-top actress becomes a successful over-the-top authoress in this biography of Jacqueline Susann, the famed writer of ""The Valley Of The Dolls"" and other trashy novels. Facing a failing career, Susann meets a successful promoter who becomes her husband. After several failures to place her in commercials and a TV quiz show, he hits upon the idea for her to become a writer. In the pre-60's, her books were looked upon as trash and non-printable. But then the sexual revolution hit and an audience was born for her books. The story shows the hidden behind the scenes story of Susan's life, including her autistic son and her continuing bout with cancer that she hid up to her death",1.068453,"['Universal Pictures', 'Mutual Film Company', 'Toho Company', 'British Broadcasting Corporation (BBC)', 'Marubeni', 'Tele München Fernseh Produktionsgesellschaft (TMG)', 'Lobell/Bergman Productions']",['United States of America'],2000-01-28,3003296,95.0,['English'],Talent Isn't Everything...,4.6,14,"[""['Bette Midler'"", "" 'Nathan Lane'""]",Andrew Bergman,2000,01,-91.6575111111111
1354,37000000,"['Animation', 'Family']","['space marine', 'chimp', 'space', 'aftercreditsstinger']","Circus monkey Ham III works in a circus where he's regularly shot from a canon but he still lives in the shadow of his father's legacy. A natural born rebel against authority, Ham III is initially reluctant to go on a dangerous space mission to rescue a lost space probe, but away he goes, for lots of RIGHT STUFF-style astro-training alongside two highly prepared chimps, Luna and Titan.",6.293216999999999,"['Starz Media', 'Starz Animation', 'Odyssey Entertainment', 'Studiopolis', 'Vanguard Animation']",['United States of America'],2008-07-17,63800345,81.0,['English'],"Houston, we have a problem!",5.2,99,"[""['Andy Samberg'"", "" 'Cheryl Hines'""]",Kirk De Micco,2008,07,72.43336486486487
1356,35000000,['Comedy'],"['underwear', 'tiger', 'stag night', 'hangover', 'lost weekend', 'bag over head', 'chapel', 'hit with tire iron', 'memory loss', 'las vegas', 'duringcreditsstinger', 'elevator']","When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",82.21166,"['Legendary Pictures', 'Green Hat Films', 'Warner Bros.', 'IFP Westcoast Erste']","['Germany', 'United States of America']",2009-06-05,459270619,100.0,['English'],Some guys just can't handle Vegas.,7.2,6173,"[""['Bradley Cooper'"", "" 'Ed Helms'""]",Todd Phillips,2009,06,1212.2017685714286
1357,36000000,"['Action', 'Drama', 'History']",['biography'],"When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand.",19.167377,['Mandarin Films Distribution Co.'],['Hong Kong'],2015-12-19,156844753,105.0,"['广州话 / 廣州話', 'English', '普通话', 'ภาษาไทย']",,6.5,379,"[""['Donnie Yen'"", "" 'Lynn Hung'""]",Wilson Yip,2015,12,335.6798694444445
1358,33000000,"['Adventure', 'Comedy', 'Crime', 'Science Fiction']","['saving the world', 'moon', 'submarine', 'clone', 'spy', 'cia', 'showdown', 'android', 'usa president', 'exotic island', 'cat', 'lasergun', 'nasa', 'undercover', 'space marine', 'car journey', 'auto', 'time travel', 'supermodel', 'single', 'aftercreditsstinger', 'duringcreditsstinger']","When diabolical genius, Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo’, Austin must return to the swingin' '60s himself – with the help of American agent, Felicity Shagwell – to stop the dastardly plan. Once there, Austin faces off against Dr. Evil's army of minions and saves the world in his own unbelievably groovy way.",18.316151,"['New Line Cinema', ""Eric's Boy""]",['United States of America'],1999-06-08,310940086,95.0,"['Deutsch', 'English']","I'm back, baby!",6.2,1011,"[""['Mike Myers'"", "" 'Heather Graham'""]",Jay Roach,1999,06,842.2426848484848
1359,35000000,"['Fantasy', 'Action']","['double life', 'dc comics', 'dual identity', 'chemical', 'crime fighter', 'fictional place', 'gotham city', 'superhero', 'super powers']","The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld.",44.104469,"['PolyGram Filmed Entertainment', 'The Guber-Peters Company', 'Warner Bros.']","['United Kingdom', 'United States of America']",1989-06-23,411348924,126.0,"['English', 'Français']",Have you ever danced with the devil in the pale moonlight?,7.0,2096,"[""['Jack Nicholson'"", "" 'Michael Keaton'""]",Tim Burton,1989,06,1075.28264
1361,35000000,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']","['rookie cop', 'dog biscuit', 'shooting practice', 'sitting on a toilet', 'judo throw', 'police psychologist', 'buddy cop', 'firing range', 'aftercreditsstinger']","Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned black market weapons dealer. Lorna Cole joins as the beautiful yet hardnosed internal affairs sergeant who catches Riggs's eye.",36.172182,"['Silver Pictures', 'Warner Bros.']",['United States of America'],1992-05-15,321731527,118.0,['English'],The magic is back again!,6.4,811,"[""['Mel Gibson'"", "" 'Danny Glover'""]",Richard Donner,1992,05,819.2329342857142
1362,29000000,['Drama'],"['american football', 'adoption', 'education', 'private school', 'sport', 'american football player', 'duringcreditsstinger']","Oversized African-American, Michael Oher, the teen from across the tracks and a broken home, has nowhere to sleep at age 16. Taken in by an affluent Memphis couple, Michael embarks on a remarkable rise to play for the NFL.",25.767395,"['Alcon Entertainment', 'Left Tackle Pictures', 'Zucker/Netter Productions']",['United States of America'],2009-11-20,309208309,129.0,['English'],Based on the extraordinary true story,7.2,1597,"[""['Sandra Bullock'"", "" 'Quinton Aaron'""]",John Lee Hancock,2009,11,966.235548275862
1363,35000000,"['Action', 'Comedy', 'Family', 'Adventure']","['double life', 'parents kids relationship', 'brother sister relationship', 'loss of parents', 'secret agent', 'robot']","Carmen and Juni think their parents are boring. Little do they know that in their day, Gregorio and Ingrid Cortez were the top secret agents from their respective countries. They gave up that life to raise their children. Now, the disappearances of several of their old colleagues forces the Cortez' return from retirement. What they didn't count on was Carmen and Juni joining the ""family business.""",21.543389,"['Dimension Films', 'Troublemaker Studios', 'Miramax']",['United States of America'],2001-03-18,147934180,88.0,"['Español', 'English']",Real spies...only smaller,5.5,867,"[""['Alexa PenaVega'"", "" 'Daryl Sabara'""]",Robert Rodriguez,2001,03,322.6690857142857
1364,35000000,"['Comedy', 'Crime']","['conspiracy of murder', 'bad boss', 'employee', 'death of father', 'stakeout', 'duringcreditsstinger']","For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently.",50.309843,"['New Line Cinema', 'Rat Entertainment']",['United States of America'],2011-07-08,117000000,98.0,['English'],Ever wish your boss was dead?,6.5,2277,"[""['Jennifer Aniston'"", "" 'Jason Bateman'""]",Seth Gordon,2011,07,234.2857142857143
1365,38000000,"['Drama', 'Adventure', 'Western']","['loss of father', 'father murder', 'texas ranger', 'alcoholism', 'betrayal']","Following the murder of her father by hired hand Tom Chaney, 14-year-old farm girl Mattie Ross sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find, a man with ""true grit,"" Reuben J. ""Rooster"" Cogburn. Mattie insists on accompanying Cogburn, whose drinking, sloth, and generally reprobate character do not augment her faith in him. Against his wishes, she joins him in his trek into the Indian Nations in search of Chaney. They are joined by Texas Ranger LaBoeuf, who wants Chaney for his own purposes. The unlikely trio find danger and adventure on the journey, and each has his or her ""grit"" tested.",49.292384000000006,"['Paramount Pictures', 'Scott Rudin Productions', 'Mike Zoss Productions', 'Skydance Productions']",['United States of America'],2010-12-22,252276927,110.0,['English'],Punishment Comes One Way or Another.,7.2,1668,"[""['Jeff Bridges'"", "" 'Matt Damon'""]",Joel Coen,2010,12,563.88665
1366,35000000,"['Comedy', 'Drama', 'Romance']","['paris', 'journalist', 'journalism', 'world of fasion', 'fashion journal', 'assistant', 'job entrant', 'job interview', 'editor-in-chief']",The Devil Wears Prada is about a young journalist who moves to New York to work in the fashion industry. Her boss however is extremely demanding and cruel and won’t let her succeed if she doesn’t fit into the high class elegant look of their magazine when all she really wants to be a good journalist.,83.89325699999999,"['Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Major Studio Partners', 'Peninsula Films', 'Fox 2000 Pictures']",['United States of America'],2006-06-30,326551094,109.0,"['English', 'Français']",Meet Andy Sachs. A million girls would kill to have her job. She's not one of them.,7.0,3088,"[""['Meryl Streep'"", "" 'Anne Hathaway'""]",David Frankel,2006,06,833.0031257142856
1367,35000000,"['Science Fiction', 'Adventure', 'Mystery']","['artificial intelligence', 'uss enterprise', 'starfleet', 'san francisco', 'self sacrifice', 'spacecraft', 'klingon', 'vulcan', 'space opera']","When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.",24.616634,['Paramount Pictures'],['United States of America'],1979-12-06,139000000,132.0,['English'],The human adventure is just beginning.,6.2,530,"[""['William Shatner'"", "" 'Leonard Nimoy'""]",Robert Wise,1979,12,297.14285714285717
1368,35000000,"['Comedy', 'Crime']",[],"When a mild-mannered businessman learns his identity has been stolen, he hits the road in an attempt to foil the thief -- a trip that puts him in the path of a deceptively harmless-looking woman.",34.005726,"['Stuber Productions', 'Aggregate Films', 'DumbDumb']",['United States of America'],2013-02-07,173965010,111.0,['English'],She's having the time of his life,5.6,1645,"[""['Jason Bateman'"", "" 'Melissa McCarthy'""]",Seth Gordon,2013,02,397.0428857142857
1369,35000000,"['Crime', 'Thriller']","['prison', 'child abuse', 'rape', 'small town', 'daughter', 'police', 'revenge', 'lawyer', 'cigar smoking', 'fear', 'dog', 'rapist']","Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, bible-quoting, psychotic rapist. What do they have in common? Fourteen years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey, bibliophile Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss.",27.714043,"['Universal Pictures', 'Amblin Entertainment', 'Cappa Productions', 'Tribeca Productions']",['United States of America'],1991-11-15,182300000,128.0,['English'],There is nothing in the dark that isn't there in the light. Except fear.,7.0,675,"[""['Robert De Niro'"", "" 'Nick Nolte'""]",Martin Scorsese,1991,11,420.85714285714283
1370,35000000,"['Drama', 'Crime']","['gambling', 'card game', 'professor', 'harvard university', 'cohabitant', 'college', 'girlfriend', 'studies', 'dormitory', 'friendship', 'blackjack']","Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack.",45.149947999999995,"['Columbia Pictures', 'Relativity Media']",['United States of America'],2008-03-27,69823199,123.0,['English'],They proved the Vegas Blackjack System was beatable...by beating the hell out of it.,6.5,1375,"[""['Jim Sturgess'"", "" 'Kevin Spacey'""]",Robert Luketic,2008,03,99.4948542857143
1371,35000000,['Comedy'],"['alcohol', 'one-night stand']","Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",72.774941,"['Universal Pictures', 'Fuji Television Network', 'Dentsu', 'Apatow Productions']",['United States of America'],2015-07-17,140795793,125.0,['English'],We All Know One.,5.9,1181,"[""['Amy Schumer'"", "" 'Bill Hader'""]",Judd Apatow,2015,07,302.27369428571427
1372,35000000,"['Comedy', 'Romance']","['black people', 'jealousy', 'parents-in-law', 'trouble', 'fiancée']","The fiancé of an African-American woman who's met with skepticism and suspicion from her father when she takes him home for the all-important introduction. As the wedding approaches, Dad must come to terms with his future son-in-law.",3.74263,"['Columbia Pictures', 'Regency Enterprises', '3 Arts Entertainment', 'Tall Trees Productions']",['United States of America'],2005-03-25,68915888,105.0,"['Français', 'English', 'Polski', 'Português']",His house. His rules. Some in-laws were made to be broken.,5.5,225,"[""['Bernie Mac'"", "" 'Ashton Kutcher'""]",Kevin Rodney Sullivan,2005,03,96.90253714285714
1373,27000000,"['Drama', 'Romance', 'War']","['cairo', 'egypt', 'identity', 'amnesia', 'world war ii', 'burn', 'landmine', 'expedition', 'cave', 'sandstorm', 'royal geographic society', 'cave painting', 'prisoners of war', 'map', 'mine clearer', 'hearing', 'desert scientist', 'intelligence', 'traitor', 'mural painting', 'airplane', 'secret love']","Beginning in the 1930s, ""The English Patient"" tells the story of Count Almásy who is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Almásy enters into a world of love, betrayal, and politics that is later revealed in a series of flashbacks while Almásy is on his death bed after being horribly burned in a plane crash.",29.381878000000004,"['Miramax Films', 'Tiger Moth Productions']","['United Kingdom', 'United States of America']",1996-11-14,231976425,162.0,"['Deutsch', 'Italiano', 'العربية', 'English']","In love, there are no boundaries.",7.0,542,"[""['Ralph Fiennes'"", "" 'Juliette Binoche'""]",Anthony Minghella,1996,11,759.1719444444445
1374,35000000,"['Crime', 'Drama', 'Mystery', 'Thriller']","['corruption', 'detective', 'shotgun', 'morgue', 'f word', 'domestic violence', 'corpse', 'crime', 'district attorney', 'bandage', 'movie star', 'man with glasses', 'knife in thigh', 'good cop bad cop', 'switchblade', 'call girl', '1950s', 'falsifying']",Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.,24.860326,"['Regency Enterprises', 'Wolper Organization', 'Warner Bros.']",['United States of America'],1997-09-19,126216940,138.0,['English'],Everything is suspect... Everyone is for sale... And nothing is what it seems.,7.7,1310,"[""['Kevin Spacey'"", "" 'Guy Pearce'""]",Curtis Hanson,1997,09,260.61982857142857
1375,35000000,"['Adventure', 'Comedy', 'Family']","['hero', 'loyalty', 'mockery', 'supernatural powers', 'high school', 'mission', 'super powers', 'teen superheroes']","Set in a world where superheroes are commonly known and accepted, young Will Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",11.041659,"['Walt Disney Pictures', 'Gunn Films', 'Max Stronghold Productions Inc.']",['United States of America'],2005-07-29,86369815,100.0,['English'],Saving The World... One Homework Assignment At A Time.,5.8,550,"[""['Michael Angarano'"", "" 'Kurt Russell'""]",Mike Mitchell,2005,07,146.7709
1377,35000000,"['Science Fiction', 'Horror', 'Action']","['telepathy', 'dna', 'paranoia', 'genetics', 'instinct', 'femme fatale', 'alien', 'on the run', 'decapitation', 'sexual attraction', 'los angeles', 'cocoon', 'genetic engineering', 'scientists', 'alien dna']","In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.",23.607070999999998,['Metro-Goldwyn-Mayer (MGM)'],['United States of America'],1995-07-07,113374103,108.0,['English'],Our time is up.,5.5,453,"[""['Natasha Henstridge'"", "" 'Ben Kingsley'""]",Roger Donaldson,1995,07,223.92600857142858
1378,1800000,['Horror'],"['child murderer', 'sleep', 'nightmare', 'supernatural', 'slasher', 'teenager', 'trapped', 'alcoholic', 'boiler room', 'booby trap', 'disfigurement', 'medical test', 'dreams']","Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson (Heather Langenkamp) traces the cause to child molester Fred Krueger (Robert Englund), who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen (Johnny Depp), must devise a plan to lure the monster out of the realm of nightmares and into the real world...",38.204158,"['New Line Cinema', 'Smart Egg Pictures']",['United States of America'],1984-11-14,25504513,91.0,['English'],"If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!",7.2,1180,"[""['John Saxon'"", "" 'Ronee Blakley'""]",Wes Craven,1984,11,1316.9173888888888
1379,33000000,"['Horror', 'Science Fiction', 'Thriller']","['drowning', 'therapist', 'virtual reality', 'serial killer', 'psychopathy', 'fbi agent']",A psychotherapist journeys inside a comatose serial killer in the hopes of saving his latest victim.,25.413954999999998,"['New Line Cinema', 'Avery Pix', 'Radical Media', 'Katira Productions GmbH & Co. KG', 'Caro-McLeod']","['Germany', 'United States of America']",2000-08-17,104155843,107.0,['English'],Enter The Mind Of A Killer,6.0,436,"[""['Jennifer Lopez'"", ' ""Vincent D\'Onofrio""']",Tarsem Singh,2000,08,215.62376666666668
1381,35000000,['Drama'],"['horse race', 'horseback riding', 'biography']","Housewife and mother Penny Chenery agrees to take over her ailing father's Virginia-based Meadow Stables, despite her lack of horse-racing knowledge. Against all odds, Chenery - with the help of veteran trainer Lucien Laurin - manages to navigate the male-dominated business, ultimately fostering the first Triple Crown winner in 25 years.",9.525037,"['Walt Disney Pictures', 'Fast Track Productions', 'Mayhem Pictures']",['United States of America'],2010-08-20,60251371,123.0,['English'],The Impossible True Story,6.8,103,"[""['Diane Lane'"", "" 'John Malkovich'""]",Randall Wallace,2010,08,72.14677428571427
1382,34000000,"['Adventure', 'Animation', 'Comedy', 'Family']","['new york', 'brother brother relationship', 'journalist', 'martial arts', 'crime fighter', 'secret identity', 'mutant', 'turtle', 'love', 'based on comic book', 'reunion', 'brother against brother']","After the defeat of their old arch nemesis, The Shredder, the Turtles have grown apart as a family. Struggling to keep them together, their rat sensei, Splinter, becomes worried when strange things begin to brew in New York City.",18.39217,"['The Weinstein Company', 'Imagi Animation Studios', 'Warner Bros.', 'Mirage Studios', 'Imagi Production']",['United States of America'],2007-03-23,95608995,90.0,['English'],,6.0,345,"[""['Chris Evans'"", "" 'Sarah Michelle Gellar'""]",Kevin Munroe,2007,03,181.20292647058824
1383,32000000,['Drama'],"['biography', 'friendship', 'sport']","High school football coach, Harold Jones befriends Radio, a mentally-challenged man who becomes a student at T.L. Hanna High School in Anderson, South Carolina. Their friendship extends over several decades, where Radio transforms from a shy, tormented man into an inspiration to his community.",9.254647,"['Revolution Studios', 'Tollin/Robbins Productions']",['United States of America'],2003-10-24,52277485,109.0,['English'],His courage made them champions.,6.8,141,"[""['Cuba Gooding Jr.'"", "" 'Ed Harris'""]",Mike Tollin,2003,10,63.367140625
1384,35000000,"['Romance', 'Comedy']","['funeral', 'friends', 'hospital', 'aftercreditsstinger', 'duringcreditsstinger']","Jamie is a New York-based executive recruiter who entices Dylan, an art director from Los Angeles, to take a job at the New York office of GQ magazine. Finding that they have much in common, the two become fast friends. Feeling jaded by a number of broken romances, Dylan and Jamie decide that they are ready to quit looking for true love and focus on having fun. However, complications unfold when the two best pals add sex to their relationship.",40.526587,"['Castle Rock Entertainment', 'Screen Gems', 'Olive Bridge Entertainment']",['United States of America'],2011-07-21,150483765,109.0,['English'],Some friends come with a happy ending.,6.5,2237,"[""['Justin Timberlake'"", "" 'Mila Kunis'""]",Will Gluck,2011,07,329.95361428571425
1385,35000000,['Comedy'],"['alcohol', 'college', 'party', 'sequel', 'sorority', 'neighbor', 'family', 'fraternity', 'bathroom humor']",A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.,50.179171000000004,"['Universal Pictures', 'Perfect World Pictures', 'Point Grey Pictures', 'Good Universe']",['United States of America'],2016-05-04,108758521,91.0,['English'],New neighbors.,5.6,1462,"[""['Seth Rogen'"", "" 'Rose Byrne'""]",Nicholas Stoller,2016,05,210.73863142857144
1386,35000000,"['Comedy', 'Drama', 'History']","['biography', 'animation', 'writer', 'moviemaking']",Author P.L. Travers travels from London to Hollywood as Walt Disney Pictures adapts her novel Mary Poppins for the big screen.,31.957946999999997,"['Walt Disney Pictures', 'BBC Films', 'Ruby Films', 'Essential Media & Entertainment', 'Hopscotch Features']","['Australia', 'United Kingdom', 'United States of America']",2013-11-16,112544580,125.0,['English'],"Where her book ended, their story began.",7.3,1226,"[""['Emma Thompson'"", "" 'Tom Hanks'""]",John Lee Hancock,2013,11,221.55594285714284
1387,34000000,"['Drama', 'History']","['islam', 'new york', 'prison', 'assassination', 'ku klux klan', 'muslim', 'police brutality', 'beach', 'koran', 'jail guard', 'prison cell', 'bible', 'biography', 'martin luther king', 'nation of islam', 'civil rights movement ', 'mekka', 'pilgrimage', 'cabriolet', 'police', 'historical figure', 'malcolm x']",The biopic of the controversial and influential Black Nationalist leader.,19.822791,"['JVC Entertainment', '40 Acres & A Mule Filmworks', 'Warner Bros.']",['United States of America'],1992-11-18,48169908,202.0,"['العربية', 'English']",,7.2,370,"[""['Denzel Washington'"", "" 'Angela Bassett'""]",Spike Lee,1992,11,41.67620000000001
1388,35000000,['Comedy'],"['wife husband relationship', 'children', 'family relationships', 'duringcreditsstinger']","Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",38.429648,['Apatow Productions'],['United States of America'],2012-12-20,88058786,134.0,['English'],The sort-of sequel to 'Knocked Up',5.6,896,"[""['Paul Rudd'"", "" 'Leslie Mann'""]",Judd Apatow,2012,12,151.59653142857144
1389,35000000,"['Comedy', 'Family']","['japanese', 'camp', 'best friend', 'co-worker', 'kids', 'duringcreditsstinger', 'sports marketing firm']","Charlie and Dan have been best friends and business partners for thirty years; their Manhattan public relations firm is on the verge of a huge business deal with a Japanese company. With two weeks to sew up the contract, Dan gets a surprise: a woman he married on a drunken impulse nearly nine years before (annulled the next day) shows up to tell him he's the father of her twins, now seven, and she'll be in jail for 14 days for a political protest. Dan volunteers to keep the tykes, although he's up tight and clueless. With Charlie's help is there any way they can be dad and uncle, meet the kids' expectations, and still land the account?",13.707842999999999,"['Walt Disney Pictures', 'Tapestry Films']",['United States of America'],2009-11-24,92219310,88.0,"['English', 'Український']",Life is Not Child-Proof.,5.2,210,"[""['Robin Williams'"", "" 'John Travolta'""]",Walt Becker,2009,11,163.48374285714286
